epoch: 159; mse: 0.01181; latent: 0.028; avg mse: 0.00955; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.71it/s]
epoch: 160; mse: 0.00923; latent: 0.024; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 161; mse: 0.00789; latent: 0.023; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 162; mse: 0.01106; latent: 0.027; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 163; mse: 0.00746; latent: 0.021; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.69it/s]
epoch: 164; mse: 0.01036; latent: 0.026; avg mse: 0.00956; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 165; mse: 0.00810; latent: 0.021; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 166; mse: 0.01152; latent: 0.029; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 167; mse: 0.00998; latent: 0.026; avg mse: 0.00953; lr: 0.00030: 100%|██████████| 782/782 [01:46<00:00,  7.34it/s]
epoch: 168; mse: 0.00997; latent: 0.027; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [02:09<00:00,  6.02it/s]
epoch: 169; mse: 0.00933; latent: 0.024; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:45<00:00,  7.39it/s]
epoch: 170; mse: 0.00691; latent: 0.020; avg mse: 0.00955; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 171; mse: 0.01018; latent: 0.027; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 172; mse: 0.01059; latent: 0.025; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 173; mse: 0.01096; latent: 0.029; avg mse: 0.00953; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 174; mse: 0.00978; latent: 0.024; avg mse: 0.00955; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.69it/s]
